,path,emotion
0,data/training/Actor_21/03-02-03-02-02-02-21_happy.wav,happy
1,data/training/Actor_21/03-02-03-02-02-01-21_happy.wav,happy
2,data/training/Actor_21/21_01_02_02_kids-talking_happy.wav,happy
3,data/training/Actor_21/03-02-03-02-01-02-21_happy.wav,happy
4,data/training/Actor_21/21_01_01_02_kids-talking_happy.wav,happy
5,data/training/Actor_21/03-02-03-01-02-01-21_happy.wav,happy
6,data/training/Actor_21/21_01_02_01_kids-talking_happy.wav,happy
7,data/training/Actor_21/21_01_01_02_dogs-sitting_happy.wav,happy
8,data/training/Actor_21/03-02-03-02-01-01-21_happy.wav,happy
9,data/training/Actor_21/21_01_02_01_dogs-sitting_happy.wav,happy
10,data/training/Actor_21/21_01_01_01_kids-talking_happy.wav,happy
11,data/training/Actor_21/21_01_02_02_dogs-sitting_happy.wav,happy
12,data/training/Actor_21/03-02-03-01-01-02-21_happy.wav,happy
13,data/training/Actor_21/21_01_01_01_dogs-sitting_happy.wav,happy
14,data/training/Actor_21/03-02-03-01-01-01-21_happy.wav,happy
15,data/training/Actor_21/03-02-03-01-02-02-21_happy.wav,happy
16,data/training/Actor_09/09_02_01_01_dogs-sitting_happy.wav,happy
17,data/training/Actor_09/09_01_01_01_dogs-sitting_happy.wav,happy
18,data/training/Actor_09/09_02_02_02_dogs-sitting_happy.wav,happy
19,data/training/Actor_09/09_02_01_02_dogs-sitting_happy.wav,happy
20,data/training/Actor_09/09_01_02_01_dogs-sitting_happy.wav,happy
21,data/training/Actor_09/09_01_01_02_dogs-sitting_happy.wav,happy
22,data/training/Actor_09/09_01_01_01_kids-talking_happy.wav,happy
23,data/training/Actor_09/09_01_02_02_dogs-sitting_happy.wav,happy
24,data/training/Actor_09/09_02_01_01_kids-talking_happy.wav,happy
25,data/training/Actor_09/09_02_02_01_kids-talking_happy.wav,happy
26,data/training/Actor_09/09_02_02_02_kids-talking_happy.wav,happy
27,data/training/Actor_09/09_01_02_01_kids-talking_happy.wav,happy
28,data/training/Actor_09/09_02_01_02_kids-talking_happy.wav,happy
29,data/training/Actor_09/09_01_01_02_kids-talking_happy.wav,happy
30,data/training/Actor_09/09_01_02_02_kids-talking_happy.wav,happy
31,data/training/Actor_09/09_02_02_01_dogs-sitting_happy.wav,happy
32,data/training/Actor_17/03-02-03-02-02-01-17_happy.wav,happy
33,data/training/Actor_17/17_02_01_01_kids-talking_happy.wav,happy
34,data/training/Actor_17/03-02-03-02-02-02-17_happy.wav,happy
35,data/training/Actor_17/03-02-03-01-02-01-17_happy.wav,happy
36,data/training/Actor_17/17_02_02_01_kids-talking_happy.wav,happy
37,data/training/Actor_17/17_02_02_02_dogs-sitting_happy.wav,happy
38,data/training/Actor_17/03-02-03-01-01-02-17_happy.wav,happy
39,data/training/Actor_17/17_02_02_01_dogs-sitting_happy.wav,happy
40,data/training/Actor_17/03-02-03-01-02-02-17_happy.wav,happy
41,data/training/Actor_17/03-02-03-02-01-01-17_happy.wav,happy
42,data/training/Actor_17/17_02_01_02_dogs-sitting_happy.wav,happy
