,path,emotion
0,data/train-custom/20190615_214753_happy.wav,happy
1,data/train-custom/هذا_happy.wav,happy
2,data/train-custom/لميعجبني_happy.wav,happy
3,data/train-custom/oumaima4_happy.wav,happy
4,data/train-custom/oumaima2_happy.wav,happy
5,data/train-custom/hamed6_happy.wav,happy
6,data/train-custom/rockikz4_happy.wav,happy
7,data/train-custom/20190615_202033_happy.wav,happy
8,data/train-custom/20190615_182757_happy.wav,happy
9,data/train-custom/rockikz6_happy.wav,happy
10,data/train-custom/soumaya1_happy.wav,happy
11,data/train-custom/hamedC_happy.wav,happy
12,data/train-custom/رائع_happy.wav,happy
13,data/train-custom/20190615_213616_happy.wav,happy
14,data/train-custom/hamed9_happy.wav,happy
15,data/train-custom/nadjib4_happy.wav,happy
16,data/train-custom/rockikz7_happy.wav,happy
17,data/train-custom/nadjibA_happy.wav,happy
18,data/train-custom/oumaima1_happy.wav,happy
19,data/train-custom/rockikz5_happy.wav,happy
20,data/train-custom/oumaima5_happy.wav,happy
21,data/train-custom/oumaima3_happy.wav,happy
22,data/train-custom/20190615_205123_happy.wav,happy
23,data/train-custom/20190615_205231_happy.wav,happy
24,data/train-custom/20190615_202016_happy.wav,happy
25,data/train-custom/20190615_214741_happy.wav,happy
26,data/train-custom/nadjib9_happy.wav,happy
27,data/train-custom/hamed2_happy.wav,happy
28,data/train-custom/nadjibB_happy.wav,happy
29,data/train-custom/nadjib8_happy.wav,happy
30,data/train-custom/rockikzB_happy.wav,happy
31,data/train-custom/nadjib1_happy.wav,happy
32,data/train-custom/nadjib6_happy.wav,happy
33,data/train-custom/سيء_happy.wav,happy
34,data/train-custom/rockikz1_happy.wav,happy
35,data/train-custom/nadjib5_happy.wav,happy
36,data/train-custom/rockikz2_happy.wav,happy
37,data/train-custom/oumaimaB_happy.wav,happy
38,data/train-custom/20190615_184326_happy.wav,happy
39,data/train-custom/oumaima7_happy.wav,happy
40,data/train-custom/20190615_184526_happy.wav,happy
41,data/train-custom/rockikz8_happy.wav,happy
42,data/train-custom/hamed4_happy.wav,happy
43,data/train-custom/hamed5_happy.wav,happy
44,data/train-custom/hamed7_happy.wav,happy
45,data/train-custom/oumaimaA_happy.wav,happy
46,data/train-custom/nadjib7_happy.wav,happy
47,data/train-custom/hamed8_happy.wav,happy
48,data/train-custom/oumaima6_happy.wav,happy
49,data/train-custom/nadjibC_happy.wav,happy
50,data/train-custom/20190615_212053_happy.wav,happy
51,data/train-custom/rockikz9_happy.wav,happy
52,data/train-custom/this-is-terrible_happy.wav,happy
53,data/train-custom/rockikz3_happy.wav,happy
54,data/train-custom/مقبول_happy.wav,happy
55,data/train-custom/oumaimaC_happy.wav,happy
56,data/train-custom/rockikzC_happy.wav,happy
57,data/train-custom/hamed3_happy.wav,happy
58,data/train-custom/nadjib2_happy.wav,happy
59,data/train-custom/20190615_184150_happy.wav,happy
60,data/train-custom/الفيلم_happy.wav,happy
61,data/train-custom/20190615_212039_happy.wav,happy
62,data/train-custom/أعجبني_happy.wav,happy
63,data/train-custom/hamedB_happy.wav,happy
64,data/train-custom/nadjib3_happy.wav,happy
65,data/train-custom/oumaima8_happy.wav,happy
66,data/train-custom/hamed1_happy.wav,happy
67,data/train-custom/oumaima9_happy.wav,happy
68,data/train-custom/rockikzA_happy.wav,happy
69,data/train-custom/hamedA_happy.wav,happy
70,data/train-custom/20190615_184442_happy.wav,happy
71,data/train-custom/20190615_015152_sad.wav,sad
72,data/train-custom/20190615_202208_sad.wav,sad
73,data/train-custom/this-is-so-bad3_sad.wav,sad
74,data/train-custom/رائع_sad.wav,sad
75,data/train-custom/سيء_sad.wav,sad
76,data/train-custom/لميعجبني_sad.wav,sad
77,data/train-custom/this-is-so-bad2_sad.wav,sad
78,data/train-custom/20190615_014359_sad.wav,sad
79,data/train-custom/this-is-the-worst_sad.wav,sad
80,data/train-custom/مقبول_sad.wav,sad
81,data/train-custom/20190615_014446_sad.wav,sad
82,data/train-custom/هذا_sad.wav,sad
83,data/train-custom/this-is-awful_sad.wav,sad
84,data/train-custom/20190615_184502_sad.wav,sad
85,data/train-custom/20190615_184517_sad.wav,sad
86,data/train-custom/this-is-so-bad_sad.wav,sad
87,data/train-custom/20190615_215246_sad.wav,sad
88,data/train-custom/الفيلم_sad.wav,sad
89,data/train-custom/dont-like-this_sad.wav,sad
90,data/train-custom/20190615_184211_sad.wav,sad
91,data/train-custom/أعجبني_sad.wav,sad
